"time" "fl"
"200" 67.3333358764648 728.33
"201" 67.6666717529297 729.9
"202" 68 731.34
"203" 68.3333358764648 732.83
"204" 68.6666717529297 733.3
"205" 69 735.51
"206" 69.3333358764648 736.61
"207" 69.6666717529297 737.69
"208" 70 739.52
"209" 70.3333358764648 741.53
"210" 70.6666717529297 742.31
"211" 71 744.1
"212" 71.3333358764648 745.04
"213" 71.6666717529297 746.58
"214" 72 747.79
"215" 72.3333358764648 748.79
"216" 72.6666717529297 750.91
"217" 73 751.72
"218" 73.3333358764648 753.33
"219" 73.6666717529297 754.63
"220" 74 755.73
"221" 74.3333358764648 757.49
"222" 74.6666717529297 758.51
"223" 75 759.94
"224" 75.3333358764648 761.37
"225" 75.6666717529297 762.9
"226" 76 764.26
"227" 76.3333358764648 765.07
"228" 76.6666717529297 766.91
"229" 77 768.03
"230" 77.3333358764648 768.89
"231" 77.6666717529297 770.5
"232" 78 771.93
"233" 78.3333358764648 772.94
"234" 78.6666717529297 774.78
"235" 79 776.06
"236" 79.3333358764648 776.81
"237" 79.6666717529297 778.53
"238" 80 780.28
"239" 80.3333358764648 780.66
"240" 80.6666717529297 782.61
"241" 81 784.06
"242" 81.3333358764648 784.33
"243" 81.6666717529297 786.58
"244" 82 787.98
"245" 82.3333358764648 788.69
"246" 82.6666717529297 790.25
"247" 83 791.99
"248" 83.3333358764648 793.26
"249" 83.6666717529297 794.48
"250" 84 795.57
"251" 84.3333358764648 796.84
"252" 84.6666717529297 798.68
"253" 85 799.57
"254" 85.3333358764648 800.63
"255" 85.6666717529297 801.9
"256" 86 803.89
"257" 86.3333358764648 804.23
"258" 86.6666717529297 806.09
"259" 87 807.67
"260" 87.3333358764648 808.35
"261" 87.6666717529297 810.32
"262" 88 811.93
"263" 88.3333358764648 812.38
"264" 88.6666717529297 813.95
"265" 89 815.13
"266" 89.3333358764648 816.72
"267" 89.6666717529297 817.75
"268" 90 818.48
"269" 90.3333358764648 820.22
"270" 90.6666717529297 821.63
