"time" "fl"
"191" 64.3333358764648 1662.57
"192" 64.6666717529297 1662.34
"193" 65 1664.59
"194" 65.3333358764648 1667.37
"195" 65.6666717529297 1664.38
"196" 66 1664.8
"197" 66.3333358764648 1666.51
"198" 66.6666717529297 1666.33
"199" 67 1669.93
"200" 67.3333358764648 1669.86
"201" 67.6666717529297 1670.61
"202" 68 1672.04
"203" 68.3333358764648 1673.69
"204" 68.6666717529297 1675.72
"205" 69 1675.04
"206" 69.3333358764648 1675.89
"207" 69.6666717529297 1676.87
"208" 70 1682.44
"209" 70.3333358764648 1680.35
"210" 70.6666717529297 1680.94
"211" 71 1685
"212" 71.3333358764648 1685.71
"213" 71.6666717529297 1682.81
"214" 72 1684.05
"215" 72.3333358764648 1685
"216" 72.6666717529297 1686.69
"217" 73 1687.34
"218" 73.3333358764648 1687.84
"219" 73.6666717529297 1688.09
"220" 74 1689.39
"221" 74.3333358764648 1689.63
"222" 74.6666717529297 1688.85
"223" 75 1690.33
"224" 75.3333358764648 1692.26
"225" 75.6666717529297 1692.39
"226" 76 1691.85
"227" 76.3333358764648 1694.6
"228" 76.6666717529297 1695.25
"229" 77 1695.42
"230" 77.3333358764648 1696.17
"231" 77.6666717529297 1696.84
"232" 78 1697.69
"233" 78.3333358764648 1696.8
"234" 78.6666717529297 1698.93
"235" 79 1700.95
"236" 79.3333358764648 1698.34
"237" 79.6666717529297 1699.52
"238" 80 1698.6
"239" 80.3333358764648 1706.07
"240" 80.6666717529297 1700.72
"241" 81 1703.19
"242" 81.3333358764648 1699.21
"243" 81.6666717529297 1710.05
"244" 82 1715.79
"245" 82.3333358764648 1710.68
"246" 82.6666717529297 1714.57
"247" 83 1715.93
"248" 83.3333358764648 1706.86
"249" 83.6666717529297 1704.18
"250" 84 1706.94
"251" 84.3333358764648 1704.33
"252" 84.6666717529297 1707.07
"253" 85 1707.5
"254" 85.3333358764648 1709.77
"255" 85.6666717529297 1706.7
"256" 86 1707.01
"257" 86.3333358764648 1704.88
"258" 86.6666717529297 1706.67
"259" 87 1728.47
"260" 87.3333358764648 1723
"261" 87.6666717529297 1717.17
"262" 88 1709.72
"263" 88.3333358764648 1712.77
"264" 88.6666717529297 1711.06
"265" 89 1711.15
"266" 89.3333358764648 1710.79
"267" 89.6666717529297 1711.28
"268" 90 1710.37
"269" 90.3333358764648 1709.96
"270" 90.6666717529297 1709.32
