"time" "fl"
"200" 67.3333358764648 566.28
"201" 67.6666717529297 566.99
"202" 68 569.02
"203" 68.3333358764648 569.87
"204" 68.6666717529297 571.15
"205" 69 571.83
"206" 69.3333358764648 573.33
"207" 69.6666717529297 574.32
"208" 70 575.96
"209" 70.3333358764648 576.26
"210" 70.6666717529297 577.92
"211" 71 579.22
"212" 71.3333358764648 580.47
"213" 71.6666717529297 581.08
"214" 72 582.94
"215" 72.3333358764648 583.59
"216" 72.6666717529297 585.28
"217" 73 586.45
"218" 73.3333358764648 587.45
"219" 73.6666717529297 588.58
"220" 74 589.76
"221" 74.3333358764648 590.59
"222" 74.6666717529297 592.13
"223" 75 592.48
"224" 75.3333358764648 594.85
"225" 75.6666717529297 595.7
"226" 76 597.08
"227" 76.3333358764648 597.98
"228" 76.6666717529297 599.37
"229" 77 600.67
"230" 77.3333358764648 601.47
"231" 77.6666717529297 602.74
"232" 78 603.18
"233" 78.3333358764648 605.1
"234" 78.6666717529297 606.54
"235" 79 607.6
"236" 79.3333358764648 608.12
"237" 79.6666717529297 610.12
"238" 80 611.45
"239" 80.3333358764648 612.37
"240" 80.6666717529297 613.53
"241" 81 614.94
"242" 81.3333358764648 615.7
"243" 81.6666717529297 617.44
"244" 82 618.27
"245" 82.3333358764648 619.3
"246" 82.6666717529297 620.71
"247" 83 622.59
"248" 83.3333358764648 623.18
"249" 83.6666717529297 624.37
"250" 84 625.72
"251" 84.3333358764648 626.61
"252" 84.6666717529297 627.29
"253" 85 629.24
"254" 85.3333358764648 629.98
"255" 85.6666717529297 631.47
"256" 86 632.72
"257" 86.3333358764648 633.22
"258" 86.6666717529297 635.08
"259" 87 636.05
"260" 87.3333358764648 637.36
"261" 87.6666717529297 638.52
"262" 88 640.16
"263" 88.3333358764648 640.71
"264" 88.6666717529297 642.5
"265" 89 643.49
"266" 89.3333358764648 644.46
"267" 89.6666717529297 646
"268" 90 647.28
"269" 90.3333358764648 648.63
"270" 90.6666717529297 650.03
